Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,17072026,1706432445,0003099
Trade Date <17-JUL-2026>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1003IIFL29,NC,10,10,100.00
20,2,1003ISFL28,N4,22,22,100.00
20,3,1003SCL31A,N1,32,32,100.00
20,4,1015ECL29,NR,86,86,100.00
20,5,1018GS2026,GS,14,14,100.00
20,6,1025PATE28,N0,2,2,100.00
20,7,1025SCL34A,ZT,31,31,100.00
20,8,1025UCL26A,N1,1619,1308,80.79
20,9,1025VCCL28,N0,1,1,100.00
20,10,1039UCL26,NE,3,3,100.00
20,11,1050ISFL28,N5,15,15,100.00
20,12,1050UCL28,NH,89,89,100.00
20,13,1065NFL27,NC,32,30,93.75
20,14,1075WCA28,N0,7,7,100.00
20,15,10CAGL27,N5,85,85,100.00
20,16,10IIFL28,N4,1578,1309,82.95
20,17,10IIFL28A,NE,100,100,100.00
20,18,10ISFL26,N3,5,5,100.00
20,19,10UCL26,ND,2,2,100.00
20,20,111ESFB31,N0,3,3,100.00
20,21,1225DCCL27,N0,1,1,100.00
20,22,1225IFL28,N0,2,2,100.00
20,23,125VCCL31,N0,2,2,100.00
20,24,12AFIL27A,N0,131,131,100.00
20,25,12AFIL28,N0,47,42,89.36
20,26,12VCCL29B,N0,1,1,100.00
20,27,20MICRONS,EQ,185213,62705,33.86
20,28,21STCENMGM,EQ,1512,1268,83.86
20,29,360ONE,EQ,5362295,2209546,41.21
20,30,364D130527,TB,2400,2400,100.00
20,31,364D200527,TB,2700,2700,100.00
20,32,364D200826,TB,100,100,100.00
20,33,364D220427,TB,100,100,100.00
20,34,364D300726,TB,600,600,100.00
20,35,3BBLACKBIO,EQ,18231,11989,65.76
20,36,3IINFOLTD,EQ,306747,186812,60.90
20,37,3MINDIA,EQ,3002,898,29.91
20,38,3PLAND,EQ,3135,2491,79.46
20,39,574GS2026,GS,994,994,100.00
20,40,5PAISA,EQ,111843,42754,38.23
20,41,610GS2031,GS,1,1,100.00
20,42,636GS2031,GS,960,960,100.00
20,43,63MOONS,EQ,507393,173023,34.10
20,44,648GS2035,GS,4024,4024,100.00
20,45,667GS2035,GS,1110,105,9.46
20,46,667GS2050,GS,10,10,100.00
20,47,668GS2040,GS,1651,1351,81.83
20,48,675GS2029,GS,298,100,33.56
20,49,676GS2061,GS,28010,28010,100.00
20,50,679GS2034,GS,2000,1000,50.00
20,51,68GS2060,GS,260,260,100.00
20,52,690GS2065,GS,2600,2600,100.00
20,53,694GS2036,GS,1014,1014,100.00
20,54,695GS2061,GS,1103,1103,100.00
20,55,699GS2051,GS,400,400,100.00
20,56,702GJ31,SG,100,100,100.00
20,57,702GS2027,GS,2000,1000,50.00
20,58,706GS2028,GS,133,133,100.00
20,59,709GS2054,GS,11731,11731,100.00
20,60,709GS2074,GS,32515,22855,70.29
20,61,710GS2029,GS,2250,1275,56.67
20,62,718GS2033,GS,17600,17600,100.00
20,63,718GS2037,GS,49001,49001,100.00
20,64,719HUDCO28,N7,123,62,50.41
20,65,724GS2055,GS,18865,15027,79.66
20,66,724KL41,SG,100,100,100.00
20,67,725GS2063,GS,228563,224233,98.11
20,68,726GS2033,GS,4705,4705,100.00
20,69,730PFCL41,NC,131,86,65.65
20,70,734GS2064,GS,64134,64132,100.00
20,71,734IRFC28,N4,4701,2700,57.43
20,72,735NHAI31,N9,1,1,100.00
20,73,736GS2052,GS,801,668,83.40
20,74,736PFCL28,N2,1700,1700,100.00
20,75,737CG31,SG,100,100,100.00
20,76,737GR2054,GS,1,1,100.00
20,77,737GS2028,GS,500,500,100.00
20,78,737NTPC35C,NA,293,293,100.00
20,79,738GS2027,GS,286851,285846,99.65
20,80,738REC27TF,N2,1000,1000,100.00
20,81,73GS2053,GS,19250,19150,99.48
